,Recipe,step-1,trange-1,step-2,trange-2,step-3,trange-3,step-4,trange-4,step-5,trange-5,step-6,trange-6,step-7,trange-7,step-8,trange-8,step-9,trange-9,step-10,trange-10,step-11,trange-11,step-12,trange-12,step-13,trange-13,step-14,trange-14,step-15,trange-15,step-16,trange-16,step-17,trange-17,step-18,trange-18,step-19,trange-19,step-20,trange-20,step-21,trange-21,step-22,trange-22,step-23,trange-23,step-24,trange-24,step-25,trange-25,step-26,trange-26,step-27,trange-27,step-28,trange-28,step-29,trange-29,step-30,trange-30,step-31,trange-31,step-32,trange-32,step-33,trange-33,step-34,trange-34,step-35,trange-35,step-36,trange-36,step-37,trange-37,step-38,trange-38,step-39,trange-39,step-40,trange-40,step-41,trange-41,step-42,trange-42,step-43,trange-43,step-44,trange-44,step-45,trange-45,step-46,trange-46,step-47,trange-47,step-48,trange-48,step-49,trange-49,step-50,trange-50,step-51,trange-51,step-52,trange-52
898,chickpea-salad-sandwich,"in a medium mixing bowl, add chickpeas and mash with potato masher until a chunky texture is reached.","1,20","add the red onion, red pepper, vegan mayo, dijon mustard, garlic powder, onion powder, salt, pepper, and dill, and stir until well combined.","21,99",store chickpea salad in refrigerator for up to five days.,"-1,-1","to assemble sandwich, spread mixture onto bread and top with leafy greens of choice.","100,165",wrap in parchment paper and secure with rubber band.,"166,191",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
899,chickpea-sweet-potato-stew,"in large pot or dutch oven, add the coconut oil over medium heat.","1,9","once the oil begins to shimmer, add the onions and cook for about 4-5 minutes, or until onions are semi-translucent.","10,31","add in the garlic and ginger, and cook for 2-3 more minutes until fragrant.","32,54","then add sweet paprika, cumin, coriander, and cayenne, and cook for 2 more minutes until fragrant.","55,98","add in the chickpeas, sweet potatoes, crushed tomatoes, and vegetable broth, and bring to a boil.","99,154",reduce heat to medium-high and simmer for 15-20 minutes or until sweet potatoes are tender.,"155,167",add in spinach and stir until wilted.,"168,198",serve immediately.,"-1,-1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
900,chiffon-cake,preheat the oven to 325˚f (160˚c).,"-1,-1","in a medium bowl, combine the egg yolks, water, oil, vanilla, and lemon zest.","44,84",whisk well to combine.,"85,110",sift the flour and baking powder into a separate medium bowl.,"111,144",add ¾ cup (150 grams) of sugar and salt and whisk to combine.,"145,168",pour the wet ingredients into the dry ingredients and whisk well.,"169,203","in a large bowl, beat the egg whites and cream of tartar with an electric hand mixer until foamy.","204,239",gradually add the remaining sugar and beat until soft peaks form and the egg whites are glossy.,"240,275",pour the egg yolk batter into the egg whites and fold to combine with a spatula.,"276,317",divide the batter between 2 ungreased 8.5-inch (21 cm) round cake pans (not greasing will help the chiffon cakes rise).,"318,344","bake for 40-50 minutes, then increase the temperature to 350˚f (180˚c) and bake for 10-15 minutes more, or until a toothpick inserted in the center of a cake comes out clean.","345,353","while the cakes are baking, make the buttercream frosting: combine the butter and about half of the sugar in a large bowl and cream with a hand mixer until combined.","354,382",add the rest of the sugar and beat to incorporate.,"383,409","with the mixer running, slowly add the evaporated milk and beat until smooth.","410,464",remove the cakes from the oven and cool the cake upside down.,"465,499","once cool to the touch, sliding an offset spatula around the edges to release the cakes from the pans.","500,567",cut off the tops of the cakes so the surfaces are flat and smooth.,"568,604",set 1 cake on a cake platter or serving dish.,"605,616",spread buttercream over the top of the cake with an offset spatula and sprinkle with some seasonal fruit.,"617,666",cover the fruit with buttercream,"667,695",place the other cake on top.,"696,707","spread buttercream over the top, keeping the sides exposed, and decorate with seasonal fruit and edible flowers.","708,791",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
901,chilaquiles-with-andrea-mares,"in a small pot, combine the guajillos, anchos, chiles de árbol, halved tomato, and water.","60,119",bring to a boil over [level] heat.,"120,127","cover cover and cook for 10 minutes, or until the peppers are rehydrated and softened.","-1,-1","using a slotted spoon, transfer the peppers and tomato to a blender.","128,155","add the onion, garlic, salt, and about ½ cup (60 g) of the pepper cooking liquid.","156,186","blend until smooth, adding more liquid as needed if the sauce is too thick.","187,212",cut the corn tortillas into triangles.,"-1,-1",add to a cast iron with around 2 cups (480 ml) of heated oil.,"-1,-1",fry the tortilla triangles until golden and crispy.,"213,280","leaving the chips in the pan, remove all but 2 tablespoons of the hot oil.","281,302",add the eggs to the pan and stir around with the chips.,"303,344","once the eggs are almost set, pour in the chile sauce and stir until well-combined.","345,379","top the chilaquiles with queso fresco, red onion, avocado, and cilantro.","380,453",serve immediately.,"-1,-1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
902,chili-bacon-cinnamon-rolls,preheat the oven to 350˚f (180˚c).,"-1,-1",grease a 9-inch (23-cm) round baking pan with nonstick spray.,"-1,-1","in a medium bowl, combine the bacon bits and chili powder.","1,25","on a lightly floured surface, roll out the crescent roll dough to a 12x6-inch (30x15 cm) rectangle.","26,83",brush the dough with the melted butter,"84,111","sprinkle the bacon bits over the dough, leaving 1 inch (2 cm) of a long end empty for rolling.","112,125","starting with the other long end, roll into a tube.","126,163",slice the tube into 7 pieces and place in the prepared pan.,"164,200","bake for 12-15 minutes, until the rolls are light golden brown.","201,208",drizzle with béchamel sauce to mimic icing.,"209,227",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
903,chili-beef-noodles,"fry the beef for a couple of minutes with the salt, pepper, and 5 spice.","1,33",take out and set aside.,"34,38","in the same pan, fry the garlic and red chili for a few minutes before stirring in the chili sauce and soy sauce.","39,82",add the beef and noodles.,"83,113",mix together for another couple of minutes.,"114,142",serve with some red chili and spring onions.,"143,169",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
904,chili-cheese-2-foot-long-potato-skin,preheat oven to 425˚f (220˚c),"-1,-1","on a baking sheet, place the 4 potatoes.","10,15","using a fork, puncture holes all around the potatoes.","16,37",bake for 1 hour until the potato gives when you press into it.,"38,42","in a pot, heat 1 tablespoon of olive oil.","43,56","add the onion, and stir until golden.","57,86","add the garlic and ground beef, breaking up the meat into the onions and garlic.","87,117","add the chili powder, cumin, salt, and pepper, and stir to combine.","118,157","add the kidney beans, tomatoes, and green chilis, and stir to combine.","158,203",simmer for 10 minutes.,"-1,-1",set aside,"-1,-1",once the potatoes have cooled place one on a cutting board.,"374,381",cut the potato in half lengthwise.,"382,391",cut off one of the ends of the potato.,"392,405","using a spoon, scoop out the insides of the potato making sure not to scoop out too much or the potato skin will be too thin.","406,441","with the remaining potatoes, cut them in half lengthwise and cut off both of the ends and scoop out the potato.","442,498","on a parchment paper-lined baking sheet, place both ends.","499,505",place three of the skins alongside one potato end and place the other 3 potato skins alongside the other end,"-1,-1",brush the potato skins with the rest of the olive oil and season with salt and pepper.,"506,542",scoop the chili into the potato skins and packing it down into an even layer.,"543,550",sprinkle the cheese over the potato skins.,"575,585",bake for 5 minutes until melted.,"586,590",top with sour cream and cilantro.,"623,666",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
905,chili-cheese-burger-bowls,heat the olive oil in a large pot with a lid over medium heat until shimmering.,"24,31","add the onion and garlic and sauté for 2 minutes, until translucent.","32,68","add the ground beef and cook until browned, about 7-10 minutes.","69,96","add the crushed tomatoes, tomato paste, brown sugar, salt, ground pepper, paprika, chili powder, ground cumin, and stir to combine.","97,193",add water and stir.,"194,205","bring to a boil, then reduce the heat to low, cover, and simmer for 30 minutes.","206,217",set a wire cooling rack on top of a baking sheet.,"-1,-1",place a metal 1-cup (240 ml) measuring cup upside down on top of the cooling rack.,"-1,-1","in a medium non-stick skillet over medium heat, pour ⅓ cup (35 g) of parmesan in the center of the pan and spread out into a thin circle, about 5 inches across.","218,248","without disturbing the cheese, melt for 2-3 minutes, or until golden and fully melted.","249,254","once the cheese is fully melted, run a spatula along the edges of the cheese and shake the pan to loosen the cheese circle.","255,267",carefully slide the melted cheese over the inverted measuring cup to form a cheese bowl.,"268,286","do not touch, it is extremely hot.","-1,-1","set aside and let cool completely, about ten minutes.","287,299",repeat with the rest of the parmesan to make 8 bowls.,"-1,-1","lightly grease a large skillet over high heat, then add the beef patties (in batches, if necessary) and season generously with salt and pepper.","300,332","cook for 2 minutes without disturbing, then flip and cook for another 3 minutes, or until the internal temperature has reached at least 165˚f (75˚c).","333,364","to assemble, place a bottom burger bun on a plate and put a cheese bowl on top.","-1,-1","lay a burger patty inside the cheese bowl and top with a spoonful of chili, a sprinkle of shredded cheddar cheese, and the top bun.","365,411",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
906,chili-cheese-casserole,"in a bowl, add the chili and tomato sauce and stir to combine.","36,108",add a layer of the chili mixture to the bottom of a 9x9-inch (23x23-cm) baking pan.,"123,152","top with a layer of tortillas, a layer of chili, and sprinkle with cheese.","153,243","repeat until all ingredients are used, making sure the top layer is cheese.","244,374","cover and refrigerate for at least 3 hours, up to overnight.","-1,-1",preheat oven to 350˚f (180˚c).,"-1,-1",remove the casserole from the refrigerator and let sit for 10 minutes on your counter.,"-1,-1","poke three toothpicks in the casserole, and cover with tin foil, so that the foil doesn’t touch the cheese layer.","-1,-1","bake for 30-40 minutes, or until cheese is melted.","375,383",cut and serve.,"384,424",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
907,chili-cheese-corn-bread-poke-cake,preheat the oven to 400°f (200°c).,"-1,-1","in a liquid measuring cup or medium bowl, whisk the eggs and milk until well-combined.","15,69","in a large bowl, add the flour, cornmeal, salt, baking powder, and baking soda, and whisk to combine.","70,117","make a well in the center of the dry ingredients, then pour in the wet ingredients and whisk until smooth.","118,169",add the melted butter and stir to combine.,"170,203",grease a 9x13-inch (23x33-cm) glass baking dish with nonstick spray and line with parchment paper.,"205,210","pour the cornbread batter into the pan, smoothing the top with a spatula.","211,251","bake for 25 minutes, or until a toothpick comes out clean.","252,258",let cool for about 10 minutes.,"-1,-1","in a large pan, heat the olive oil over medium heat.","259,270","add the onion and cook until softened, stirring frequently, about 5 minutes.","271,292",add the ground beef and break apart with a wooden spoon into small pieces.,"293,323","add the salt, pepper, paprika, garlic powder, chili powder, and cumin.","324,392","cook, stirring frequently, until the ground beef is cooked through, about 5 minutes","393,410",add the crushed tomatoes and stir.,"411,461",simmer for 10 minutes.,"462,470","using the bottom of a utensil with a handle that is about 1-inch (2 cm) in diameter, poke multiple holes in the cornbread.","485,539",pour the chili over the cornbread and smooth the top with a spatula.,"540,589",sprinkle the cheese over the chili.,"590,614","bake for 3 minutes, or until the cheese is melted.","615,621","slice and serve with sour cream, scallions, and cilantro","622,718",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
908,chili-cheese-dog-bake,preheat oven to 375˚f (190˚c).,"-1,-1",spread chili into a greased 11x7-inch (28 x 18 cm) glass baking dish.,"30,61",unroll the dough and cut into four even strips.,"63,88",cut the cheese sticks in half lengthwise.,"90,115",place a hot dog in the center of a piece of dough.,"116,126",place each half of the cheese stick on either side of the hot dog.,"128,137","wrap the dough around the cheese and hot dog, overlapping slightly in the center.","138,159","repeat with remaining dough, hot dogs, and cheese.","-1,-1",place the wrapped hot dogs on top of the chili.,"161,176","bake 15-20 minutes, until the dough is light golden.","-1,-1",add the butter to a microwave-safe bowl and microwave on high until melted.,"-1,-1",stir in the garlic powder and parsley.,"195,198",brush over the wrapped hot dogs.,"199,235",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
909,chili-cheese-dog-boats,preheat oven to 350°f/180°c.,"-1,-1","place the 8 hot dog buns in a 9x13 inch (22x33 cm) baking dish, then cut a rectangle in each hot dog bun, making sure to stay 1 centimeter from the edges.","16,63","push down on the bread cut-out and compact this portion of the bun tightly into the bottom of each bun, making sure to press down on the bottom edges as well.","64,82",this will help create a larger space for the fillings and reduce mess.,"-1,-1","mix the butter, garlic, and parsley in a small bowl, then brush the buns and their hollowed insides with the garlic butter.","85,118",bake for 5 minutes to toast the buns as well as help the sides of the buns firm up so they don’t collapse under the weight of the fillings.,"119,134","place a slice of cheddar cheese inside each bun, then spoon a bit of chili inside each one.","135,160","slide the hot dog snugly on top of the chili, then top with more chili.","161,195","bake for 20-25 minutes, until the cheese is golden brown and the chili has started to brown.","196,210","top with fresh parsley, then slice the hot dogs boats along their connected seams to serve.","216,254",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
910,chili-cheese-garlic-bread-rolls,heat oil in a large pot or dutch oven over medium heat.,"40,40",add the onion and cook until translucent.,"41,81",add the garlic and cook for two minutes.,"82,117",add the ground beef and season with salt and pepper.,"118,142","break up the beef with a wooden spoon, cooking until browned.","143,173","add in the tomato sauce, cumin, oregano, and chili powder.","174,220",stir until combined.,"221,237","reduce the heat to low, cover and simmer for 1 hour.","-1,-1",remove lid and stir in kidney beans.,"241,304",preheat the oven to 400°f (200°c).,"-1,-1","in a bowl, add the butter, garlic, parsley, and parmesan.","307,343",stir until combined.,"344,364",place the dinner rolls in a baking dish.,"366,373",use a knife to carve a circle in the top of each roll.,"374,391",press down the bottom of the bun to create a denser bottom layer.,"392,405","brush the rolls with the garlic butter and bake for 5 minutes, or until lightly toasted.","407,455",spoon the chilli into the holes of the toasted rolls.,"478,506","sprinkle with cheddar cheese and bake for another 5 minutes, or until cheese has melted.","509,544",serve topped with sour cream and green onions.,"606,643",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
911,chili-cheese-mac-n-cheese,cook 1 box of mac 'n' cheese according to instructions on box.,"-1,-1","add cooked ground beef, cheddar cheese, kidney beans, green chilis, and chili powder, stir until fully incorporated.","1,86",top with desired garnish.,"87,110",serve immediately.,"-1,-1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
912,chili-cheese-stuffed-tots,heat a pan over medium-high heat.,"-1,-1",add the ground beef and break up into smaller bits using a spoon or spatula.,"2,18","add the cayenne, cumin, onion powder, garlic powder, pepper, and salt, then mix until evenly incorporated.","20,92",add ketchup.,"94,103",mix thoroughly allowing beef to cook all the way through.,"104,136","remove the pan from heat, and drain excess fat.","-1,-1","add the grated potatoes to a bowl, and add in the flour and 1 teaspoon of salt.","152,177",stir to combine.,"178,196","using the palm of your hand, spread 1 tablespoon of the potatoes into a thin pancake.","198,218","add 1 teaspoon of the beef, then press a cheese cube into the middle.","219,231","fold potato over beef and cheese, then create a fist around the tot while using your opposite hand to flatten both sides, creating the cylindrical tot form.","232,248",heat vegetable oil over high heat until temperature reaches 360˚f (182˚c).,"-1,-1","fry the tots in batches for about 5 minutes, until golden brown.","249,270",transfer fried tots to a paper towel-lined plate to drain.,"-1,-1",serve immediately.,"-1,-1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
913,chili-chicken-stuffed-parathas,heat the oil in a large saucepan over a medium heat.,"2,14",fry the garlic and ginger paste for a couple of minutes.,"15,39","stir in the chili and onion and fry for about 5 minutes, until soft.","40,73","add the tomato, followed by the chili powder, turmeric, garam masala, salt, and pepper.","76,135",fry for another few minutes stirring continuously.,"136,157",stir in the chicken and coriander and mix until evenly coated.,"158,209",set the pan aside.,"-1,-1","in a smaller pan over medium heat, place on a paratha.","225,230",spoon on some of the chicken mix and place another paratha on top.,"231,249","carefully seal the sides with your fingers, being careful not to touch the pan.","250,263",cook for a few minutes on each side until crisp and golden brown.,"265,294","slice the parathas in half and serve with chutneys, raitas, or any other dips of your choice.","-1,-1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
914,chili-con-queso,heat the vegetable oil in a large skillet over medium heat.,"18,36","add the onion and bell pepper and cook for 2 minutes, until starting to soften.","37,76",add the ground beef and chili seasoning.,"77,93","cook until the beef is cooked through, about 5 minutes.","94,113",remove the pan from the heat.,"-1,-1","in a small saucepan, whisk together the milk and heavy cream.","114,142","bring to a boil, then remove from the heat.","143,149","in a small bowl, whisk together the water and cornstarch to form a slurry.","150,175",pour the slurry into milk mixture and whisk to combine.,"176,196",put mixture back on the heat and bring to a simmer.,"-1,-1",whisk in the cheese until fully melted and season with the salt.,"198,236",add the diced tomatoes and green chiles and whisk to combine.,"237,266",pour the queso over the chili mixture.,"267,306",garnish with scallions and serve with corn chips for dipping.,"307,335",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
915,chili-dog-bread-ring,preheat oven to 375ºf (190ºc).,"-1,-1",cut hot dogs into thirds.,"7,28",cut crescent roll triangles in half lengthwise so you have roughly 1-inch (2 ½ cm) by 5-inch (13 cm) triangle slices.,"37,63","roll crescent dough around hot dog thirds, starting with the wider end of the dough closest to the hot dogs, making “pigs in blankets.”","67,88","arrange pigs in blankets around a 10-inch (25 cm) skillet in two tight circles, leaving a hole in the center of the skillet.","90,112","bake 15-20 minutes, until dough puffs up and becomes golden.","113,122","in another large skillet, sauté onions until translucent.","123,143","add the ground beef to the onions, then season with salt and pepper.","144,168",continue stirring ground beef until mostly cooked.,"169,174","add the tomato sauce, ketchup, cumin, chili powder, and sugar to the ground beef and onions.","175,202",stir until everything is well mixed.,"203,208",simmer 10 minutes.,"-1,-1","when chili and the pigs-in-blankets skillet are both ready, spoon chili to fill the hole in center of the skillet.","237,254",top with shredded cheddar cheese.,"259,264",bake another 5-10 minutes until cheese is well melted.,"270,274",top with diced green onion and serve.,"287,319",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
916,chili-from-leftover-sauce,"in a heavy bottom pot, brown the ground beef with the onions, pepper, and garlic on medium heat.","1,16",add the sauce and spices and bring to a simmer.,"17,65","add the beans and simmer, covered, for 30 to 45 minutes.","66,107",serve warm with sour cream and cheddar cheese.,"108,139",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
917,chili-lime-baked-tilapia-with-avocado-crema,preheat oven to 400˚f (200˚c).,"-1,-1","in a small bowl, mix the chili powder, cumin, cayenne, salt, pepper, and olive oil with the lime juice.","2,62","using a basting brush, generously coat each side of the tilapia fillet with the marinade.","70,113",bake fish for 12 minutes in a preheated oven until edges begin to crisp and fish is moist and flaky.,"114,120","while fish is baking, prepare the crema.","-1,-1","in a blender, combine avocado, cilantro, salt, pepper, lime juice, and yogurt.","121,172",blend until mixture is smooth.,"173,201",serve tilapia topped with avocado crema and freshly chopped cilantro.,"225,238",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
918,chili-lime-crispy-chickpeas,preheat oven to 350˚f (180˚c).,"-1,-1","in a bowl, toss the chickpeas with olive oil, chili powder, salt, pepper, lime zest, and lime juice.","1,71","transfer chickpeas to a parchment paper-lined baking sheet and bake for 35 minutes, until crispy.","72,118",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
919,chili-lime-pineapple-cucumber-sticks,"add the cut jicama, pineapple, cucumber, chili lime seasoning, and juice from the lime wedge in a resealable bag.","1,60",toss to coat.,"61,77",serve with a lime wedge.,"78,104",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
920,chili-lime-rainbow-skewers,"if baking, preheat oven to 400˚f (200˚c).","-1,-1",soak wooden skewers in water for 5-10 minutes and set aside.,"1,24","in a large bowl, combine the chicken with the marinade ingredients and mix.","28,113",cover with plastic wrap and marinate in the fridge for at least an hour.,"115,128","assemble skewers by adding red bell pepper first, followed by orange, yellow, and green bell peppers, red onion, and then marinated chicken.","129,169",repeat until skewer is full.,"170,178",place skewers on a baking sheet and brush with remaining marinade.,"196,231","bake or grill 20-30 minutes, until chicken is no longer pink.","232,238",garnish with fresh chopped cilantro.,"-1,-1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
921,chili-lime-steak-tacos,"place the avocado, cilantro, lime juice, water, and salt in a blender or food processor.","1,79",blend until smooth and set aside.,"80,101","in a small bowl, combine the chili powder, cumin, oregano, salt, pepper, garlic, and lime juice.","102,186","rub the chili lime rub all over the steak in a thin, even layer.","187,227",grill the steak on either a grill or stove-top grill pan.,"228,263","to get the “x” grill marks, sear the steak for 1 minute, then adjust about 90 degrees and grill for another minute.","264,273",flip the steak when you’ve achieved desired grill marks and repeat the process on the other side.,"274,296",allow the steak to rest for 5-10 minutes once taken off the heat.,"297,310","slice the steak thinly, against the grain of the meat.","311,338","prepare the tacos by topping the corn tortillas with a few strips of meat, salsa, the avocado cilantro lime sauce, and cilantro, and serve.","339,425",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
922,chili-mac-n-cheese,"in a large pot, cook ground beef and onions over medium high heat until browned.","1,27",add minced garlic and cook for an additional two to three minutes.,"28,39",carefully drain any excess fat.,"41,51","add the diced tomatoes, kidney beans, black beans, chili powder, cumin, seasoned salt, and chicken broth.","53,107","stir, and bring to a boil.","108,126","add the pasta, and cook according to package instructions.","127,156","stir in the cheese, and cook for an additional five minutes, or until thickened.","166,202",serve with your favorite toppings.,"212,238",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
923,chili-mac-n-cheese-pops,"heat the olive oil in a large skillet over medium heat, until shimmering.","16,22","add the onion and cook until caramelized, about 10 minutes.","23,52","add the green bell pepper and cook until softened, about 3 minutes.","53,72","add the ground beef, break apart, and cook until no longer pink, about 5 minutes.","73,101","add the tomato, kidney beans, green chiles, tomato paste, cumin, pepper, salt, garlic powder, paprika, cayenne pepper, and lime juice.","102,160",mix thoroughly and let simmer for about 10 minutes.,"161,188",remove the pan from the heat and set aside until ready to use.,"-1,-1","in a large pot over medium-high heat, add the milk and macaroni.","189,206",stir continuously until the milk reaches a simmer and the pasta is cooked.,"207,235","turn off the heat, and stir in the butter, salt, pepper, monterey jack, and cheddar cheeses.","236,266",mix until all of the ingredients are incorporated.,"267,292",line a 9x13-inch (23x33 cm) casserole dish with parchment paper so the paper is hanging over the sides of the dish.,"293,303",spread a third of the macaroni evenly on to the bottom of the dish and sprinkle half of the cheddar cheese over the top.,"304,350",spread half of the chili over the cheese.,"351,376","spread another third of macaroni over the chili, and sprinkle the remaining cup of cheddar cheese on top.","377,380",spread the rest of the chili over the cheese.,"-1,-1",spread the rest of the macaroni over the chili.,"-1,-1",cover the casserole dish with a piece of parchment paper.,"381,395","freeze for at least 6 hours, up to 12 hours.","396,400",remove the casserole from the dish using the parchment paper to help you pull it out.,"401,409",place on a work surface.,"410,419","insert 9 skewers into one long side of the casserole 4 inches (10 cm) deep, spacing about 2 inches (5 cm) apart.","420,438",repeat on the other long side of the casserole.,"439,445","cut the casserole in half vertically, then make 8 horizontal cuts in between the skewers.","446,485","crush the corn chips until they are a coarse sand-like texture, then pour onto a large plate.","-1,-1",put the flour and eggs in separate medium dishes.,"-1,-1","place one of the pops in the flour, turning to coat on all sides, and tap off the excess flour.","486,506",place the pop in the egg and coat until there is no exposed flour.,"507,519",place the pop in the crushed corn chips and coat.,"520,534",repeat with the remaining pops.,"-1,-1",heat the oil in a large pot until the temperature reaches 325˚f (165˚c).,"-1,-1","fry the skewers 2 at a time for 8 minutes, until browned and crisp.","535,553",transfer to a wire rack or paper towels to drain.,"554,573",sprinkle with cilantro and serve immediately.,"587,631",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
924,chilled-cucumber-avocado-soup,"in a food processor or blender, add the cucumber, avocado, greek yogurt, vegetable broth, lemon juice, apple cider vinegar, scallions, salt, and pepper.","1,58",blend until smooth and creamy.,"59,76","chill for at least 30 minutes, or until ready to serve.","77,136",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
925,chilli-stuffed-garlic-bread,"in a saucepan, cook the onion and 2 garlic cloves in a little oil.","1,17","after a minute or so, add the minced beef, breaking it up with a spoon.","19,34","when the mince has browned, stir in the chilli powder, cumin, ground coriander, and the plain flour.","38,72","stir in the beef stock, tomatoes, tomato purée, kidney beans, oregano, and salt.","73,130","place a bay leaf into the mixture, loosely cover and simmer for 30-45 minutes, stirring occasionally.","131,166",allow to cool some so you don’t burn yourself during the next bit!,"-1,-1",preheat the oven to 200°c/400°f.,"-1,-1","top and tail the baguette, then cut it into 3-4 equal rolls.","168,183","hollow out each roll, allowing a thin border of bread around the outside.","184,234",stuff each roll with chili using a teaspoon.,"235,243",try to really fill them up.,"244,251",make the garlic butter by stirring in 2 cloves of crushed garlic and a handful of parsley into the melted butter.,"252,286",coat each stuffed roll with a generous helping of garlic butter.,"287,303",top with a healthy portion of finely grated cheddar.,"304,327","bake in the centre of the preheated oven for 10-12 minutes, until the cheese is bubbly and melted.","328,335",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
926,chimichurri-sauce,combine all of your ingredients in a food processor and blitz.,"1,120",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
